,id,businessDate,securityId,symbol,securityName,openPrice,highPrice,lowPrice,closePrice,totalTradedQuantity,totalTradedValue,previousDayClosePrice,fiftyTwoWeekHigh,fiftyTwoWeekLow,lastUpdatedTime,lastUpdatedPrice,totalTrades,averageTradedPrice,marketCapitalization
0,,2023-07-17,2790,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,647.0,676.0,647.0,673.9,2473,1642561.9,647.0,977.1,530.0,2023-07-17T14:59:58.481055,673.9,66,664.19,2474.18
1,,2023-07-17,397,ADBL,Agricultural Development Bank Limited,234.0,240.7,232.1,240.0,39477,9400800.3,233.9,355.8,224.0,2023-07-17T14:59:49.749824,240.0,284,238.13,32284.02
2,,2023-07-17,9150,AHL,Asian Hydropower Limited,330.0,349.7,326.3,340.0,2580,871951.0,330.0,480.9,298.8,2023-07-17T14:59:43.444699,340.0,135,337.96,1156.0
3,,2023-07-17,360,AHPC,Arun Valley Hydropower Development Co. Ltd.,255.0,262.0,251.2,259.0,44045,11383148.9,255.0,408.0,240.5,2023-07-17T14:59:53.370516,259.0,246,258.44,4838.02
4,,2023-07-17,2788,AKJCL,Ankhu Khola Jalvidhyut Company Ltd,190.2,198.0,190.2,195.9,12609,2472683.1,192.5,262.0,159.8,2023-07-17T14:59:41.595569,195.9,91,196.1,1567.2
5,,2023-07-17,2757,AKPL,Arun Kabeli Power Ltd.,234.0,236.8,227.1,231.9,101395,23462282.1,234.5,519.0,220.0,2023-07-17T14:59:55.045356,231.9,454,231.39,9464.91
6,,2023-07-17,2807,ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,790.0,800.0,786.0,799.0,1720,1370198.0,785.0,1392.0,649.0,2023-07-17T14:59:17.353078,799.0,45,796.62,3049.11
7,,2023-07-17,385,ALICL,Asian Life Insurance Co. Limited,760.0,765.9,746.0,765.9,39816,30293096.4,745.1,812.0,428.0,2023-07-17T14:59:47.769266,765.9,214,760.82,24166.45
8,,2023-07-17,9161,ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,2350.0,2405.0,2350.0,2390.1,1533,3667047.0,2363.9,2651.0,403.8,2023-07-17T14:58:29.213782,2390.1,92,2392.07,1489.94
9,,2023-07-17,697,API,Api Power Company Ltd.,200.0,202.9,197.5,200.4,93444,18734867.4,197.0,315.0,192.0,2023-07-17T14:59:59.072962,200.4,371,200.49,11596.34
10,,2023-07-17,8117,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,712.9,768.0,687.0,768.0,22269,15977231.7,699.0,963.0,316.0,2023-07-17T14:59:57.53928,768.0,316,717.46,1920.0
