,id,businessDate,securityId,symbol,securityName,openPrice,highPrice,lowPrice,closePrice,totalTradedQuantity,totalTradedValue,previousDayClosePrice,fiftyTwoWeekHigh,fiftyTwoWeekLow,lastUpdatedTime,lastUpdatedPrice,totalTrades,averageTradedPrice,marketCapitalization
0,,2022-08-03,2790,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,950.0,958.0,925.0,948.0,4655,4396278.6,968.0,1870.0,744.0,2022-08-03T14:57:40.951593,948.0,128,944.42,3480.52
1,,2022-08-03,397,ADBL,Agricultural Development Bank Limited,337.0,339.0,331.0,331.9,24591,8254595.6,335.0,620.0,298.0,2022-08-03T14:59:24.618827,331.9,235,335.67,43770.69
2,,2022-08-03,360,AHPC,Arun Valley Hydropower Development Co. Ltd.,400.0,408.0,393.2,399.0,190577,76653037.7,396.0,785.0,310.0,2022-08-03T14:59:57.918947,399.0,788,402.21,6901.08
3,,2022-08-03,2788,AKJCL,Ankhu Khola Jalvidhyut Company Ltd,237.9,245.0,235.0,238.0,86773,20852256.3,235.7,502.0,162.0,2022-08-03T14:59:45.330582,238.0,435,240.3,1904.0
4,,2022-08-03,2757,AKPL,Arun Kabeli Power Ltd.,493.5,504.0,493.0,493.9,131928,65847409.2,492.1,882.4,369.2,2022-08-03T14:59:53.124045,493.9,666,499.11,9162.88
5,,2022-08-03,2807,ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,1256.0,1300.0,1256.0,1280.0,2300,2934811.0,1279.0,2061.0,1147.0,2022-08-03T14:59:16.477605,1280.0,58,1276.0,4274.1
6,,2022-08-03,385,ALICL,Asian Life Insurance Co. Limited,655.0,669.0,650.0,650.1,67484,44453210.7,655.0,1513.0,484.0,2022-08-03T14:59:44.083439,650.1,382,658.72,16511.47
7,,2022-08-03,697,API,Api Power Company Ltd.,282.0,296.0,275.0,288.8,527501,151724829.7,276.7,670.0,217.6,2022-08-03T14:59:59.818792,288.8,2190,287.62,11104.12
8,,2022-08-03,686,BARUN,Barun Hydropower Co. Ltd.,308.0,311.0,300.0,308.0,48225,14821348.5,302.0,763.4,276.0,2022-08-03T14:59:41.92997,308.0,277,307.33,1650.31
9,,2022-08-03,156,BBC,Bishal Bazar Company Limited,4000.0,4075.0,3920.0,4000.0,537,2154822.0,4000.0,7210.0,3195.0,2022-08-03T14:55:21.178671,4000.0,33,4012.7,1965.6
10,,2022-08-03,227,BFC,Best Finance Company Ltd.,446.7,475.0,445.0,446.0,68307,30858736.2,438.0,630.0,298.0,2022-08-03T14:59:50.281685,446.0,517,451.76,3696.96
11,,2022-08-03,8075,BHDC,Bindhyabasini Hydropower Development Company Limited,450.0,482.6,435.0,466.1,30777,14198570.2,447.1,482.6,334.0,2022-08-03T14:59:43.897937,466.1,958,461.33,1165.25
12,,2022-08-03,8055,BHL,Balephi Hydropower Limited,299.8,329.7,299.8,329.7,39216,12588612.2,299.8,329.7,104.7,2022-08-03T14:59:53.711987,329.7,658,321.0,6026.82
13,,2022-08-03,8032,BNHC,Buddha Bhumi Nepal Hydropower Company Limited,440.0,466.0,436.5,452.3,8070,3609373.3,440.0,744.0,246.7,2022-08-03T14:59:50.302256,452.3,143,447.25,1809.2
14,,2022-08-03,213,BNT,Bottlers Nepal (Terai) Limited,13901.0,13901.0,13623.0,13623.0,220,3017630.0,14100.0,17670.0,9750.0,2022-08-03T14:43:59.253291,13623.0,12,13716.5,16483.83
15,,2022-08-03,4961,BOKD86,8.5% BOK Debenture 2086,752.1,767.1,752.1,760.0,100,75980.0,764.5,1000.0,752.1,2022-08-03T14:45:45.494344,760.0,4,759.8,1216.0
16,,2022-08-03,153,BPCL,Butwal Power Company Limited,363.2,375.0,363.0,367.0,28702,10620208.9,367.9,703.0,294.0,2022-08-03T14:58:21.145103,367.0,198,370.01,11914.02
17,,2022-08-03,164,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,1117.0,1142.0,1117.0,1121.1,18631,21052406.9,1114.0,2065.2,882.0,2022-08-03T14:59:33.635951,1121.1,283,1129.96,26055.49
18,,2022-08-03,8043,CBLD88,Civil Bank Debenture 2088,885.0,885.0,885.0,885.0,50,44250.0,881.0,1000.0,865.4,2022-08-03T14:32:48.731362,885.0,2,885.0,
19,,2022-08-03,245,CFCL,Central Finance Co. Ltd.,404.0,408.0,397.0,398.0,50128,20205136.7,397.0,814.9,237.0,2022-08-03T14:59:48.137754,398.0,268,403.07,3776.52
20,,2022-08-03,2917,CGH,Chandragiri Hills Limited,1147.0,1176.0,1146.0,1147.0,2607,3009908.5,1165.0,1737.0,900.2,2022-08-03T14:59:44.125919,1147.0,65,1154.54,17596.02
21,,2022-08-03,154,CHCL,Chilime Hydropower Company Limited,456.0,456.0,439.0,444.0,39004,17384549.0,448.0,760.0,347.9,2022-08-03T14:59:05.992079,444.0,210,445.71,29977.97
22,,2022-08-03,3946,CHDC,CEDB Hydropower Development Company Limited,816.0,848.0,814.0,814.1,14377,11921844.7,822.0,1415.0,630.0,2022-08-03T14:59:46.280936,814.1,210,829.23,6833.64
23,,2022-08-03,2766,CHL,Chhyangdi Hydropower Ltd.,304.0,318.9,302.0,314.0,59851,18676424.9,303.0,715.0,207.0,2022-08-03T14:59:59.953528,314.0,262,312.04,1215.11
24,,2022-08-03,210,CIT,Citizen Investment Trust,3030.0,3035.0,2980.0,2992.0,10676,31995513.0,2985.0,4400.0,2137.0,2022-08-03T14:59:49.561596,2992.0,293,2996.95,97838.41
25,,2022-08-03,2780,CMF1,Citizens Mutual Fund -1,8.7,8.87,8.7,8.87,5000,43740.0,8.6,16.01,7.8,2022-08-03T14:09:05.318687,8.87,4,8.74,727.34
26,,2022-08-03,2862,CMF2,CITIZENS MUTUAL FUND 2,9.4,9.4,9.4,9.4,3430,32242.0,9.59,16.09,8.2,2022-08-03T14:45:05.674633,9.4,4,9.4,526.4
27,,2022-08-03,450,CORBL,Corporate Development Bank Limited,355.0,362.1,339.1,353.0,12169,4303776.7,352.5,1155.0,211.3,2022-08-03T14:59:49.260992,353.0,84,353.66,1765.0
28,,2022-08-03,348,CZBIL,Citizens Bank International Limited,212.9,215.0,210.5,211.8,42484,9033249.6,212.9,428.0,194.0,2022-08-03T14:59:23.806288,211.8,243,212.62,30077.66
29,,2022-08-03,166,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,1052.0,1070.0,1050.1,1064.0,6119,6504122.5,1069.9,2000.0,876.0,2022-08-03T14:59:49.726919,1064.0,93,1062.93,14762.98
30,,2022-08-03,2754,DHPL,Dibyashwori Hydropower Ltd.,238.3,244.0,236.0,240.0,25354,6114982.7,234.0,485.2,168.0,2022-08-03T14:59:57.421732,240.0,169,241.18,633.6
31,,2022-08-03,8070,DORDI,Dordi Khola Jal Bidyut Company Limited,337.2,377.0,337.2,355.0,29262,10280657.6,344.0,377.0,271.5,2022-08-03T14:59:59.627731,355.0,593,351.33,3742.62
32,,2022-08-03,137,EBL,Everest Bank Limited,520.0,528.0,506.2,510.0,42544,21849200.9,521.0,782.3,411.0,2022-08-03T14:59:55.450004,510.0,251,513.56,48079.44
33,,2022-08-03,277,EBLCP,Everest Bank Limited Con. Pref.,510.0,510.0,510.0,510.0,20,10200.0,500.0,754.6,488.1,2022-08-03T12:49:32.58865,510.0,1,510.0,1020.0
34,,2022-08-03,274,EDBL,Excel Development Bank Ltd.,400.0,415.0,399.0,399.0,89651,36125683.5,400.0,1195.0,308.0,2022-08-03T14:59:48.541565,399.0,209,402.95,4986.28
35,,2022-08-03,8034,ENL,Emerging Nepal Limited,768.4,790.0,766.0,780.0,10810,8418793.0,768.4,1481.9,287.1,2022-08-03T14:59:52.69751,780.0,122,778.79,4333.68
36,,2022-08-03,490,FMDBL,First Micro Finance Laghubitta Bittiya Sanstha Limited,757.0,765.0,745.0,745.0,24233,18284617.1,757.0,1365.0,559.0,2022-08-03T14:59:58.951569,745.0,202,754.53,7185.47
37,,2022-08-03,2758,FOWAD,Forward Microfinance Laghubitta Bittiya Sanstha Limited,2871.0,2950.0,2832.0,2845.0,17340,50086097.2,2870.0,3311.0,2000.0,2022-08-03T14:59:49.136233,2845.0,531,2888.47,24024.63
38,,2022-08-03,417,GBBL,Garima Bikas Bank Limited,424.0,427.0,416.0,418.0,59416,24996095.9,419.0,750.0,318.0,2022-08-03T14:59:45.515191,418.0,319,420.69,19143.95
39,,2022-08-03,8004,GBILD86/87,Global IME Bank Limited Debenture 2086/87,775.0,775.0,770.0,770.0,50,38625.0,776.0,1000.0,755.1,2022-08-03T14:34:16.977761,770.0,2,772.5,
40,,2022-08-03,583,GBLBS,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,849.0,869.9,849.0,856.9,14299,12228664.1,865.0,1437.0,653.1,2022-08-03T14:59:58.586337,856.9,140,855.21,8419.04
41,,2022-08-03,232,GFCL,Goodwill Finance Limited,622.2,634.0,589.0,589.1,69967,42109070.0,610.0,1010.0,358.0,2022-08-03T14:59:59.857595,589.1,337,601.84,5573.56
42,,2022-08-03,2806,GHL,Ghalemdi Hydro Limited,244.0,249.6,240.0,246.0,50187,12281079.3,240.0,555.9,169.0,2022-08-03T14:59:53.074089,246.0,236,244.7,1353.0
43,,2022-08-03,705,GILB,Global IME Laghubitta Bittiya Sanstha Ltd.,1420.0,1420.0,1368.0,1370.0,2852,3957661.4,1395.0,2850.0,1130.0,2022-08-03T14:59:57.709635,1370.0,79,1387.67,7570.47
44,,2022-08-03,1740,GIMES1,Global IME Samunnat Scheme-1,9.99,9.99,9.44,9.75,58810,574254.65,9.8,24.0,8.85,2022-08-03T14:58:59.986025,9.75,32,9.76,975.0
45,,2022-08-03,2826,GLBSL,Gurans Laghubitta Bittiya Sanstha Limited,1100.0,1111.8,1081.1,1081.1,1178,1297730.7,1090.0,2210.0,935.0,2022-08-03T14:58:18.897491,1081.1,27,1101.63,1054.07
46,,2022-08-03,2924,GLH,GreenLife Hydropower Limited,339.0,357.0,335.1,341.0,19843,6896904.2,339.0,657.0,269.1,2022-08-03T14:59:52.938942,341.0,204,347.57,6138.0
47,,2022-08-03,2815,GMFBS,Ganapati Laghubitta Bittiya Sanstha Limited,1050.0,1098.0,1000.0,1049.0,2568,2611143.9,1060.0,1923.6,864.4,2022-08-03T14:59:55.337532,1049.0,82,1016.8,1589.81
48,,2022-08-03,263,GMFIL,Guheshowori Merchant Bank & Finance Co. Ltd.,395.0,398.0,375.0,380.0,47713,18390200.2,388.0,773.0,223.9,2022-08-03T14:58:20.65938,380.0,209,385.43,3611.52
49,,2022-08-03,2744,GRDBL,Green Development Bank Ltd.,285.1,295.8,282.0,283.0,9281,2674679.5,287.0,537.9,182.0,2022-08-03T14:59:40.659788,283.0,74,288.18,1468.77
50,,2022-08-03,204,GUFL,Gurkhas Finance Ltd.,691.5,692.0,667.5,669.0,56435,38491806.3,678.0,1500.0,357.0,2022-08-03T14:59:57.804147,669.0,376,682.05,5806.88
51,,2022-08-03,8045,GVL,Green Ventures Limited,366.5,402.0,366.5,390.0,63365,24525168.4,373.9,436.4,255.1,2022-08-03T14:59:59.825097,390.0,741,387.04,12187.5
52,,2022-08-03,2883,GWFD83,12 % Goodwill Finance Limited Debenture 2083,1015.0,1016.0,1011.0,1015.0,800,810900.0,1031.6,1215.0,1011.0,2022-08-03T14:00:32.813474,1015.0,5,1013.62,
53,,2022-08-03,134,HBL,Himalayan Bank Limited,338.0,365.1,338.0,353.0,25525,8915440.8,332.0,484.0,290.0,2022-08-03T14:59:53.587405,353.0,258,349.28,45779.6
54,,2022-08-03,2880,HDHPC,Himal Dolakha Hydropower Company Limited,259.9,280.3,259.0,264.0,423681,113308569.8,254.9,478.9,168.0,2022-08-03T14:59:53.269565,264.0,1894,267.43,4224.0
55,,2022-08-03,235,HDL,Himalayan Distillery Limited,3988.0,4025.0,3925.4,4022.0,29168,116312281.8,3950.0,7938.0,2825.0,2022-08-03T14:59:58.69612,4022.0,774,3987.66,61073.23
56,,2022-08-03,2742,HIDCL,Hydorelectricity Investment and Development Company Ltd,240.0,245.0,235.0,236.7,303899,72974627.1,236.0,575.0,173.0,2022-08-03T14:59:56.423363,236.7,1421,240.12,55615.03
57,,2022-08-03,693,HLBSL,Himalayan Laghubitta Bittiya Sanstha Limited,914.0,1003.0,914.0,977.0,17091,16822019.9,925.0,1742.0,662.5,2022-08-03T14:59:28.028152,977.0,245,984.26,2814.98
58,,2022-08-03,2767,HPPL,Himalayan Power Partner Ltd.,385.0,407.0,385.0,407.0,51085,20293965.0,392.7,749.1,259.0,2022-08-03T14:59:52.281014,407.0,157,397.25,4336.25
59,,2022-08-03,2824,HURJA,Himalaya Urja Bikas Company Limited,294.6,299.8,285.0,289.9,12273,3609055.9,289.0,685.4,194.0,2022-08-03T14:59:50.152163,289.9,90,294.06,2870.01
60,,2022-08-03,273,ICFC,ICFC Finance Limited,570.0,573.0,555.1,558.0,93323,53021380.2,562.0,1176.8,363.0,2022-08-03T14:59:59.954969,558.0,392,568.14,6289.3
61,,2022-08-03,2882,ICFCD83,12% ICFC Finance Limited Debenture 2083,1021.0,1021.0,1015.0,1021.0,355,361730.0,1015.0,1195.0,1010.0,2022-08-03T14:27:39.825982,1021.0,4,1018.95,
62,,2022-08-03,186,IGI,IGI Prudential insurance Limited,471.0,476.0,459.0,459.0,60053,27972525.0,469.9,1342.0,333.2,2022-08-03T14:59:59.737086,459.0,382,465.79,7810.58
63,,2022-08-03,2832,ILBS,Infinity Laghubitta Bittiya Sanstha Limited,1065.0,1075.0,1047.0,1070.0,2061,2185210.1,1063.0,2140.0,865.0,2022-08-03T14:59:50.280393,1070.0,55,1060.26,4435.29
64,,2022-08-03,8038,JALPA,Jalpa Samudayik Laghubitta Bittiya Sanstha Limited,2810.0,2843.0,2796.0,2800.0,5641,15901642.0,2839.0,3050.0,318.6,2022-08-03T14:58:39.753456,2800.0,176,2818.94,4480.0
65,,2022-08-03,418,JBBL,Jyoti Bikas Bank Limited,343.0,348.0,338.0,340.0,59083,20267283.4,340.2,649.9,248.0,2022-08-03T14:59:59.426026,340.0,385,343.03,14510.36
66,,2022-08-03,4951,JBLB,Jeevan Bikas Laghubitta  Bittya Sanstha Ltd,2940.0,2989.9,2940.0,2952.0,20674,61409170.6,2907.0,5516.9,1248.8,2022-08-03T14:59:50.361416,2952.0,672,2970.35,30531.95
67,,2022-08-03,250,JFL,Janaki Finance Company Limited,493.0,498.0,476.1,483.0,28819,14125742.9,483.5,836.0,305.0,2022-08-03T14:59:25.621042,483.0,185,490.15,3334.98
68,,2022-08-03,2789,JOSHI,Joshi Hydropower Development Company Ltd,241.7,247.0,239.0,242.5,36268,8813072.8,237.0,507.0,164.8,2022-08-03T14:59:47.61968,242.5,218,242.99,900.64
69,,2022-08-03,695,JSLBB,Janautthan Samudayic Laghubitta Bittya Sanstha Limited,1912.0,2135.0,1912.0,2030.0,4662,9622925.2,1950.0,4022.8,1615.0,2022-08-03T14:59:15.403125,2030.0,161,2064.11,3002.49
70,,2022-08-03,142,KBL,Kumari Bank Limited,212.8,219.8,212.8,216.7,396918,86259814.5,208.7,407.0,187.2,2022-08-03T14:59:43.89666,216.7,1204,217.32,31879.13
71,,2022-08-03,8074,KDBY,Kumari Dhanabriddhi Yojana,8.74,9.09,8.74,8.92,9350,83888.0,8.91,10.0,8.7,2022-08-03T14:57:45.148097,8.92,47,8.97,35.68
72,,2022-08-03,2933,KEF,Kumari Equity Fund,9.28,9.28,8.92,9.09,6400,57711.0,9.1,11.0,8.0,2022-08-03T14:41:03.130278,9.09,19,9.01,909.0
73,,2022-08-03,2751,KKHC,Khanikhola Hydropower Co. Ltd.,243.0,255.0,243.0,248.9,23068,5762053.4,242.0,556.2,171.5,2022-08-03T14:59:40.658593,248.9,150,249.78,1159.16
