,id,businessDate,securityId,symbol,securityName,openPrice,highPrice,lowPrice,closePrice,totalTradedQuantity,totalTradedValue,previousDayClosePrice,fiftyTwoWeekHigh,fiftyTwoWeekLow,lastUpdatedTime,lastUpdatedPrice,totalTrades,averageTradedPrice,marketCapitalization
0,,2022-11-02,2790,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,740.0,740.0,727.0,730.0,1073,791044.5,731.0,1630.0,688.2,2022-11-02T14:49:46.789633,730.0,34,737.22,2680.15
1,,2022-11-02,397,ADBL,Agricultural Development Bank Limited,324.1,329.0,322.0,324.0,19128,6213082.5,324.0,549.0,298.0,2022-11-02T14:59:43.452431,324.0,173,324.81,42728.85
2,,2022-11-02,360,AHPC,Arun Valley Hydropower Development Co. Ltd.,276.2,287.0,271.0,278.0,73562,20619412.3,276.0,628.3,255.0,2022-11-02T14:59:57.010195,278.0,353,280.29,4808.27
3,,2022-11-02,2788,AKJCL,Ankhu Khola Jalvidhyut Company Ltd,182.5,185.5,176.0,179.9,49157,8903766.6,179.0,365.0,161.0,2022-11-02T14:59:55.576868,179.9,294,181.12,1439.2
4,,2022-11-02,2757,AKPL,Arun Kabeli Power Ltd.,405.0,410.0,393.0,407.9,84395,34082251.1,397.1,669.9,366.0,2022-11-02T14:59:58.118646,407.9,515,403.84,7567.4
5,,2022-11-02,2807,ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,991.0,996.0,957.0,988.0,737,713883.7,985.0,1750.0,891.0,2022-11-02T14:59:31.246108,988.0,33,968.63,3299.07
6,,2022-11-02,385,ALICL,Asian Life Insurance Co. Limited,460.0,460.0,445.0,451.8,6735,3058316.5,451.6,1398.0,428.0,2022-11-02T14:56:24.454147,451.8,74,454.09,13138.85
7,,2022-11-02,697,API,Api Power Company Ltd.,218.0,223.0,212.0,215.5,136203,29791262.8,215.0,575.0,200.0,2022-11-02T14:59:58.356691,215.5,678,218.72,8285.79
8,,2022-11-02,8117,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,777.0,800.0,750.0,785.0,6290,4933983.5,778.0,963.0,316.0,2022-11-02T14:59:54.155922,785.0,387,784.41,1962.5
9,,2022-11-02,686,BARUN,Barun Hydropower Co. Ltd.,213.0,219.7,211.0,216.5,3135,680568.8,215.0,595.0,201.0,2022-11-02T14:59:51.673702,216.5,42,217.08,1160.04
10,,2022-11-02,156,BBC,Bishal Bazar Company Limited,3320.0,3377.0,3310.0,3377.0,90,299370.0,3324.0,5803.0,3137.0,2022-11-02T14:59:08.794699,3377.0,7,3326.33,1659.46
11,,2022-11-02,227,BFC,Best Finance Company Ltd.,318.7,333.0,311.1,324.9,15244,4931613.2,317.0,580.0,298.0,2022-11-02T14:59:57.892613,324.9,118,323.51,2693.14
12,,2022-11-02,8075,BHDC,Bindhyabasini Hydropower Development Company Limited,334.0,342.0,316.0,333.4,8536,2820104.1,328.2,520.0,310.0,2022-11-02T14:59:51.970486,333.4,96,330.37,3334.0
13,,2022-11-02,8055,BHL,Balephi Hydropower Limited,235.4,250.0,235.4,244.0,4351,1050280.0,240.0,397.0,104.7,2022-11-02T14:59:34.554109,244.0,67,241.38,4460.25
14,,2022-11-02,8032,BNHC,Buddha Bhumi Nepal Hydropower Company Limited,353.0,379.0,350.0,365.0,2970,1068646.0,360.0,744.0,246.7,2022-11-02T14:55:56.6873,365.0,47,359.81,1460.0
15,,2022-11-02,213,BNT,Bottlers Nepal (Terai) Limited,12340.0,12413.0,12164.8,12164.8,140,1725443.0,12170.0,17670.0,10500.0,2022-11-02T14:58:55.528554,12164.8,11,12324.59,14719.41
16,,2022-11-02,153,BPCL,Butwal Power Company Limited,315.0,315.0,303.8,308.0,10633,3278487.0,310.0,546.0,288.0,2022-11-02T14:59:45.325262,308.0,79,308.33,9998.69
17,,2022-11-02,164,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,1038.0,1038.0,1012.0,1030.0,8908,9162905.0,1018.0,1850.0,882.0,2022-11-02T14:59:23.538146,1030.0,168,1028.61,23938.23
18,,2022-11-02,8043,CBLD88,Civil Bank Debenture 2088,850.0,850.0,850.0,850.0,50,42500.0,849.9,1000.0,843.2,2022-11-02T12:13:43.149301,850.0,2,850.0,
19,,2022-11-02,8068,CCBD88,Century Debenture 2088,858.0,858.0,843.2,843.2,45,38303.0,857.2,1000.0,837.0,2022-11-02T12:09:36.633311,843.2,4,851.17,
20,,2022-11-02,245,CFCL,Central Finance Co. Ltd.,327.8,335.0,321.2,327.6,22599,7449807.4,327.7,616.0,237.0,2022-11-02T14:59:59.714814,327.6,182,329.65,3108.52
21,,2022-11-02,2917,CGH,Chandragiri Hills Limited,984.0,1011.8,984.0,1007.9,4503,4511975.0,1000.0,1734.0,900.2,2022-11-02T14:59:55.980665,1007.9,52,1001.99,15462.1
22,,2022-11-02,154,CHCL,Chilime Hydropower Company Limited,392.0,392.0,380.0,385.0,11689,4495482.0,384.5,630.0,347.9,2022-11-02T14:56:59.629709,385.0,107,384.59,25994.41
23,,2022-11-02,3946,CHDC,CEDB Hydropower Development Company Limited,632.0,647.7,622.0,630.0,8168,5169093.2,642.0,1130.0,590.0,2022-11-02T14:58:58.966505,630.0,96,632.84,5288.28
24,,2022-11-02,2766,CHL,Chhyangdi Hydropower Ltd.,213.0,218.0,210.0,216.5,9304,2000513.5,210.0,550.8,193.1,2022-11-02T14:59:25.887639,216.5,68,215.01,837.81
25,,2022-11-02,210,CIT,Citizen Investment Trust,1880.0,1896.0,1845.0,1875.0,10963,20591266.4,1877.9,3646.0,1780.0,2022-11-02T14:58:31.956394,1875.0,270,1878.25,79706.26
26,,2022-11-02,2780,CMF1,Citizens Mutual Fund -1,8.1,8.39,7.49,8.39,1100,8701.0,8.26,10.49,7.4,2022-11-02T12:40:51.306705,8.39,11,7.91,687.98
27,,2022-11-02,2862,CMF2,CITIZENS MUTUAL FUND 2,8.14,8.14,7.84,7.84,1000,7962.0,8.0,10.89,7.8,2022-11-02T14:54:31.332214,7.84,4,7.96,439.04
28,,2022-11-02,450,CORBL,Corporate Development Bank Limited,270.6,290.0,270.6,288.5,19650,5560148.9,265.3,999.0,211.3,2022-11-02T14:59:37.084831,288.5,176,282.95,1442.5
29,,2022-11-02,348,CZBIL,Citizens Bank International Limited,194.0,194.0,187.2,191.0,54942,10426007.2,191.0,323.3,180.0,2022-11-02T14:59:31.248932,191.0,242,189.76,27123.86
30,,2022-11-02,166,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,940.0,954.8,931.3,947.1,2563,2425068.0,941.0,1407.0,861.0,2022-11-02T14:59:34.910836,947.1,70,946.18,13141.0
31,,2022-11-02,2754,DHPL,Dibyashwori Hydropower Ltd.,174.0,188.7,172.0,183.1,15220,2756046.8,174.0,381.4,160.1,2022-11-02T14:59:50.333896,183.1,105,181.08,483.38
32,,2022-11-02,8070,DORDI,Dordi Khola Jal Bidyut Company Limited,250.0,258.9,241.2,254.0,12135,3066856.5,250.0,408.0,225.5,2022-11-02T14:59:59.123054,254.0,146,252.72,2677.82
33,,2022-11-02,137,EBL,Everest Bank Limited,545.0,552.0,538.0,545.0,62705,34189231.8,545.2,678.9,411.0,2022-11-02T14:59:59.991645,545.0,380,545.23,51379.0
34,,2022-11-02,8044,EBLD86,Everest Bank Limited,745.0,759.9,745.0,759.9,75,56247.5,745.0,1000.0,737.0,2022-11-02T13:14:51.448196,759.9,3,749.96,
35,,2022-11-02,274,EDBL,Excel Development Bank Ltd.,324.0,329.0,312.0,320.0,9969,3197422.7,320.0,677.1,291.2,2022-11-02T14:59:57.788781,320.0,94,320.73,3999.02
36,,2022-11-02,8034,ENL,Emerging Nepal Limited,593.9,641.8,579.2,609.0,7905,4767100.6,606.0,1481.9,287.1,2022-11-02T14:58:00.506278,609.0,78,603.04,3383.6
37,,2022-11-02,490,FMDBL,First Micro Finance Laghubitta Bittiya Sanstha Limited,629.0,644.9,620.0,639.0,15829,10056612.9,626.4,1059.0,559.0,2022-11-02T14:59:46.919068,639.0,118,635.32,6163.11
38,,2022-11-02,2758,FOWAD,Forward Microfinance Laghubitta Bittiya Sanstha Limited,2665.0,2665.0,2617.0,2650.0,5146,13651264.0,2652.0,3000.0,2000.0,2022-11-02T14:59:36.907066,2650.0,155,2652.79,22377.95
39,,2022-11-02,8033,GBBD85,"Garima Debenture, 2085",755.0,755.0,750.0,750.0,150,113010.0,755.0,1000.0,722.5,2022-11-02T12:59:29.971235,750.0,4,753.4,
40,,2022-11-02,417,GBBL,Garima Bikas Bank Limited,389.0,393.7,383.0,388.1,94157,36549719.6,389.0,662.0,318.0,2022-11-02T14:59:47.921794,388.1,328,388.17,17774.56
41,,2022-11-02,2840,GBD80/81,10.25% GLOBAL IME BANK LTD. DEBENTURE 2080/81,980.0,980.0,980.0,980.0,75,73500.0,965.0,1030.0,920.0,2022-11-02T12:01:20.393004,980.0,3,980.0,101043.06
42,,2022-11-02,8004,GBILD86/87,Global IME Bank Limited Debenture 2086/87,735.0,735.0,735.0,735.0,60,44100.0,740.1,1000.0,735.0,2022-11-02T13:42:10.510567,735.0,2,735.0,
43,,2022-11-02,583,GBLBS,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,613.3,646.0,613.3,646.0,4621,2910504.9,624.2,1139.0,585.0,2022-11-02T14:58:46.974042,646.0,51,629.84,6346.95
44,,2022-11-02,232,GFCL,Goodwill Finance Limited,459.0,465.0,441.0,450.0,9164,4172623.8,450.0,875.0,358.0,2022-11-02T14:59:58.116664,450.0,97,455.32,4257.52
45,,2022-11-02,2806,GHL,Ghalemdi Hydro Limited,180.0,189.9,178.2,185.0,35411,6515239.6,177.6,420.0,164.2,2022-11-02T14:59:04.914839,185.0,168,183.98,1017.5
46,,2022-11-02,8106,GIBF1,Global IME Balanced Fund-1,8.2,8.36,8.04,8.36,3100,25247.0,8.2,10.0,7.69,2022-11-02T14:59:59.02647,8.36,20,8.14,857.54
47,,2022-11-02,705,GILB,Global IME Laghubitta Bittiya Sanstha Ltd.,1190.0,1240.0,1182.0,1239.0,1280,1557850.2,1205.0,2390.0,1115.0,2022-11-02T14:59:53.93896,1239.0,36,1217.07,6846.58
48,,2022-11-02,1740,GIMES1,Global IME Samunnat Scheme-1,8.34,8.48,8.34,8.4,30586,256781.22,8.4,21.9,8.08,2022-11-02T14:57:04.025695,8.4,22,8.39,840.0
49,,2022-11-02,2826,GLBSL,Gurans Laghubitta Bittiya Sanstha Limited,871.0,885.0,867.3,867.3,115,100652.5,865.0,1509.9,842.0,2022-11-02T14:57:58.389017,867.3,6,875.23,845.62
50,,2022-11-02,2924,GLH,GreenLife Hydropower Limited,236.0,257.0,235.0,251.9,7976,1919908.6,239.0,550.0,219.0,2022-11-02T14:59:42.354759,251.9,62,240.71,4534.2
51,,2022-11-02,2815,GMFBS,Ganapati Laghubitta Bittiya Sanstha Limited,840.0,843.0,816.0,816.4,295,243875.0,830.0,1641.1,800.2,2022-11-02T14:59:38.318191,816.4,17,826.69,1237.29
52,,2022-11-02,263,GMFIL,Guheshowori Merchant Bank & Finance Co. Ltd.,340.0,343.9,326.6,338.0,9674,3258922.1,337.9,607.0,223.9,2022-11-02T14:58:06.361405,338.0,65,336.87,3212.35
53,,2022-11-02,2744,GRDBL,Green Development Bank Ltd.,240.0,253.0,231.1,241.2,5784,1414673.8,243.9,452.6,182.0,2022-11-02T14:59:23.33199,241.2,55,244.58,1251.83
54,,2022-11-02,204,GUFL,Gurkhas Finance Ltd.,535.0,560.0,521.0,543.0,72775,39445600.1,530.0,1015.3,357.0,2022-11-02T14:59:58.383455,543.0,448,542.02,4713.21
55,,2022-11-02,8045,GVL,Green Ventures Limited,294.0,308.2,294.0,301.5,9004,2698679.4,299.0,436.4,255.1,2022-11-02T14:59:57.648266,301.5,133,299.72,9421.88
56,,2022-11-02,134,HBL,Himalayan Bank Limited,335.2,344.7,334.1,336.2,9808,3310177.6,340.0,484.0,290.0,2022-11-02T14:59:58.524115,336.2,84,337.49,43600.86
57,,2022-11-02,2880,HDHPC,Himal Dolakha Hydropower Company Limited,175.0,178.0,170.0,174.0,79270,13884822.1,172.8,418.0,161.0,2022-11-02T14:59:56.633485,174.0,390,175.15,2784.0
58,,2022-11-02,235,HDL,Himalayan Distillery Limited,3565.0,3586.0,3517.0,3560.0,10917,38832560.4,3516.0,7269.0,2825.0,2022-11-02T14:59:58.35523,3560.0,394,3557.07,54057.86
59,,2022-11-02,179,HEI,Himalayan Everest Insurance Limited,381.0,390.0,373.5,382.2,38180,14561409.6,385.9,810.9,345.0,2022-11-02T14:59:58.380018,382.2,205,381.38,8561.04
60,,2022-11-02,700,HEIP,Himalayan Everest Insurance Limited Promoter,246.8,251.7,242.3,251.1,2935,730237.0,242.0,298.0,214.2,2022-11-02T14:56:55.277675,251.1,10,248.8,671.7
61,,2022-11-02,8076,HHL,Himalayan Hydropower Limited,223.0,225.9,216.0,224.4,5912,1313750.3,219.0,362.1,202.1,2022-11-02T14:59:15.594103,224.4,115,222.21,2457.18
62,,2022-11-02,2742,HIDCL,Hydorelectricity Investment and Development Company Ltd,174.8,177.4,170.0,173.0,83174,14434841.9,172.0,412.0,159.8,2022-11-02T14:59:46.958005,173.0,519,173.54,40648.08
63,,2022-11-02,8111,HIDCLP,Hydorelectricity Investment and Development Company Limited Promoter,101.9,103.9,98.0,100.0,102022,10368992.0,100.0,115.2,95.0,2022-11-02T14:59:39.945044,100.0,108,101.63,10.0
64,,2022-11-02,693,HLBSL,Himalayan Laghubitta Bittiya Sanstha Limited,774.0,796.0,774.0,790.0,738,577635.0,789.0,1274.0,662.5,2022-11-02T14:58:27.766442,790.0,22,782.7,2276.18
65,,2022-11-02,2767,HPPL,Himalayan Power Partner Ltd.,286.9,299.9,280.3,282.0,15395,4402253.5,282.0,545.7,259.0,2022-11-02T14:58:43.821324,282.0,74,285.95,3004.48
66,,2022-11-02,2824,HURJA,Himalaya Urja Bikas Company Limited,218.0,225.4,213.7,213.7,2490,545881.5,216.9,554.8,194.0,2022-11-02T14:45:15.017827,213.7,36,219.22,2115.63
67,,2022-11-02,273,ICFC,ICFC Finance Limited,452.5,457.0,440.2,449.0,27136,12206182.1,444.0,1063.0,363.0,2022-11-02T14:59:56.719366,449.0,221,449.81,5060.75
68,,2022-11-02,186,IGI,IGI Prudential insurance Limited,373.0,379.9,361.0,372.0,21692,8100882.8,366.0,1266.1,333.2,2022-11-02T14:59:37.861974,372.0,164,373.45,6330.14
69,,2022-11-02,2832,ILBS,Infinity Laghubitta Bittiya Sanstha Limited,935.4,935.4,911.0,934.7,1543,1418693.2,917.1,1876.5,849.0,2022-11-02T14:50:46.892784,934.7,31,919.43,3874.46
70,,2022-11-02,8038,JALPA,Jalpa Samudayik Laghubitta Bittiya Sanstha Limited,3060.0,3149.0,3021.0,3105.0,3045,9447897.0,3044.9,3299.5,318.6,2022-11-02T14:59:49.962607,3105.0,140,3102.75,4968.0
71,,2022-11-02,418,JBBL,Jyoti Bikas Bank Limited,288.9,294.7,282.0,287.5,33104,9544026.2,285.1,610.0,248.0,2022-11-02T14:59:45.360004,287.5,279,288.3,12269.79
72,,2022-11-02,4951,JBLB,Jeevan Bikas Laghubitta  Bittya Sanstha Ltd,2570.0,2653.0,2570.0,2650.0,3934,10337815.0,2590.0,5368.0,2430.0,2022-11-02T14:59:59.959984,2650.0,185,2627.81,27408.42
73,,2022-11-02,250,JFL,Janaki Finance Company Limited,374.0,375.0,361.0,366.0,10496,3876147.9,368.0,803.9,305.0,2022-11-02T14:59:32.506688,366.0,99,369.29,2527.13
74,,2022-11-02,2789,JOSHI,Joshi Hydropower Development Company Ltd,186.0,197.0,183.3,197.0,22978,4431443.5,185.9,416.1,164.8,2022-11-02T14:59:58.022768,197.0,171,192.85,731.66
75,,2022-11-02,695,JSLBB,Janautthan Samudayic Laghubitta Bittya Sanstha Limited,1650.0,1699.0,1619.0,1660.0,670,1116770.0,1650.0,3530.0,1550.0,2022-11-02T14:58:15.685332,1660.0,27,1666.82,2455.24
76,,2022-11-02,8074,KDBY,Kumari Dhanabriddhi Yojana,7.93,8.07,7.92,7.95,10400,82529.0,8.05,10.0,7.46,2022-11-02T14:11:25.734498,7.95,13,7.93,31.8
77,,2022-11-02,2933,KEF,Kumari Equity Fund,8.0,8.22,8.0,8.19,42353,345695.85,8.06,10.07,7.73,2022-11-02T14:55:36.181662,8.19,20,8.16,819.0
78,,2022-11-02,2751,KKHC,Khanikhola Hydropower Co. Ltd.,180.0,185.0,178.0,178.0,12941,2342252.9,180.0,381.0,166.0,2022-11-02T14:59:45.932686,178.0,74,180.99,828.97
79,,2022-11-02,694,KLBSL,Kisan Lagubitta Bittiya Sanstha Limited,880.0,880.0,877.0,877.0,365,320472.5,868.0,1775.0,750.0,2022-11-02T13:18:31.262546,877.0,9,878.0,4133.92
80,,2022-11-02,593,KMCDB,Kalika Laghubitta Bittiya Sanstha Ltd,908.1,949.0,908.1,949.0,693,639003.7,911.0,1536.0,890.3,2022-11-02T14:58:55.233495,949.0,19,922.08,2969.19
81,,2022-11-02,2787,KPCL,Kalika power Company Ltd,320.0,323.0,314.6,320.0,4836,1544814.0,318.0,749.0,289.0,2022-11-02T14:59:57.352,320.0,53,319.44,2208.0
82,,2022-11-02,428,KRBL,Karnali Development Bank Limited,220.0,243.5,214.0,240.0,87084,19918386.7,222.0,514.0,198.9,2022-11-02T14:59:54.960436,240.0,375,228.72,1272.02
83,,2022-11-02,459,KSBBL,Kamana Sewa Bikas Bank Limited,321.0,324.5,313.6,319.0,22066,7058678.8,319.9,675.0,296.1,2022-11-02T14:59:44.080879,319.0,179,319.88,10024.82
84,,2022-11-02,358,LBBL,Lumbini Bikas Bank Ltd.,361.0,367.0,353.8,363.0,42189,15269150.2,357.9,697.0,290.1,2022-11-02T14:59:53.913051,363.0,225,361.92,11921.98
85,,2022-11-02,141,LBL,Laxmi Bank Limited,206.1,211.0,201.8,206.0,31319,6512413.8,208.0,351.0,185.5,2022-11-02T14:59:55.635823,206.0,116,207.93,23795.77
86,,2022-11-02,2903,LEC,Liberty Energy Company Limited,222.0,229.0,219.0,227.0,12665,2818402.0,218.3,443.0,203.0,2022-11-02T14:59:32.994591,227.0,89,222.53,3405.0
87,,2022-11-02,2765,LEMF,Laxmi Equity Fund,8.0,8.0,8.0,8.0,200,1600.0,7.95,11.17,7.34,2022-11-02T14:21:42.415627,8.0,2,8.0,1000.0
88,,2022-11-02,188,LICN,Life Insurance Corporation (Nepal) Limited,1240.0,1270.0,1231.0,1256.0,2651,3328652.9,1245.9,2493.0,1065.0,2022-11-02T14:58:23.574266,1256.0,59,1255.62,33324.19
89,,2022-11-02,618,LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,1195.0,1200.0,1180.0,1200.0,1294,1543140.4,1195.9,2035.0,1080.0,2022-11-02T14:57:53.493633,1200.0,19,1192.53,4608.65
90,,2022-11-02,2902,LUK,Laxmi Unnati Kosh,8.3,8.31,8.29,8.29,4199,34868.7,8.32,10.8,7.58,2022-11-02T14:45:11.031656,8.29,5,8.3,541.02
91,,2022-11-02,8031,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,204.2,215.0,204.2,211.0,16098,3396760.7,205.5,505.0,100.0,2022-11-02T14:59:57.311529,211.0,232,211.0,12660.0
92,,2022-11-02,140,MBL,Machhapuchhre Bank Limited,236.0,236.0,226.0,229.0,26194,6013304.4,232.0,350.3,210.0,2022-11-02T14:56:37.231233,229.0,130,229.56,23488.89
93,,2022-11-02,371,MDB,Miteri Development Bank Limited,383.0,394.0,379.0,385.0,14181,5495057.5,385.5,707.8,308.0,2022-11-02T14:59:23.092115,385.0,72,387.49,3478.2
94,,2022-11-02,2913,MEN,Mountain Energy Nepal Limited,760.0,787.4,755.0,787.4,8369,6459562.0,761.0,1319.0,695.0,2022-11-02T14:58:58.259487,787.4,62,771.84,15496.24
95,,2022-11-02,1741,MERO,Mero Microfinance Bittiya Sanstha Ltd.,786.0,804.0,781.0,797.0,3585,2849759.8,792.0,1520.0,735.0,2022-11-02T14:59:47.466774,797.0,60,794.91,9564.0
96,,2022-11-02,516,MFIL,Manjushree Finance Ltd.,425.0,429.3,408.7,420.0,24545,10330609.7,417.0,1213.0,362.0,2022-11-02T14:59:57.286373,420.0,203,420.88,5676.52
97,,2022-11-02,8102,MHL,Mandakini Hydropower Limited,331.3,345.0,325.0,345.0,5855,1930022.9,338.0,436.0,237.3,2022-11-02T14:59:57.951496,345.0,110,329.63,2028.73
98,,2022-11-02,2811,MHNL,Mountain Hydro Nepal Limited,240.0,244.7,231.0,231.2,21381,5086535.4,237.0,551.3,212.0,2022-11-02T14:59:54.366719,231.2,88,237.89,2890.0
99,,2022-11-02,8005,MKJC,Mailung Khola Jal Vidhyut Company Limited,415.0,433.8,409.0,426.9,2968,1256969.0,415.0,733.9,372.6,2022-11-02T14:59:46.91642,426.9,45,423.5,1571.6
100,,2022-11-02,4955,MKLB,Manakamana Smart Laghubitta Bittiya Sanstha Limited,810.5,853.1,810.5,820.0,424,350647.5,805.0,1985.0,793.9,2022-11-02T14:57:46.462911,820.0,19,826.99,1162.31
