,id,businessDate,securityId,symbol,securityName,openPrice,highPrice,lowPrice,closePrice,totalTradedQuantity,totalTradedValue,previousDayClosePrice,fiftyTwoWeekHigh,fiftyTwoWeekLow,lastUpdatedTime,lastUpdatedPrice,totalTrades,averageTradedPrice,marketCapitalization
0,,2023-04-26,2790,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,565.0,579.3,565.0,571.2,99,56338.0,571.0,982.0,547.5,2023-04-26T14:30:13.296081,571.2,8,569.07,2097.12
1,,2023-04-26,397,ADBL,Agricultural Development Bank Limited,234.0,239.9,233.5,235.5,16448,3868828.3,237.4,389.0,230.0,2023-04-26T14:54:36.737613,235.5,142,235.21,31678.69
2,,2023-04-26,8071,ADLB,Adarsha Laghubitta Bittiya Sanstha Limited,1400.0,1400.0,1352.0,1382.0,205,279990.0,1397.0,2705.0,256.8,2023-04-26T14:59:48.550579,1382.0,15,1365.8,343.29
3,,2023-04-26,9150,AHL,Asian Hydropower Limited,383.0,385.0,371.5,376.0,3490,1305532.0,379.0,480.9,298.8,2023-04-26T14:59:57.205146,376.0,154,374.07,1278.4
4,,2023-04-26,360,AHPC,Arun Valley Hydropower Development Co. Ltd.,299.0,301.9,292.0,292.0,59209,17572662.3,297.0,457.0,250.0,2023-04-26T14:59:40.157235,292.0,162,296.79,5454.45
5,,2023-04-26,2893,AIL,Ajod Insurance Limited,410.0,422.8,408.2,410.0,2611,1086252.6,415.0,652.0,344.0,2023-04-26T14:56:57.417426,410.0,58,416.02,4100.0
6,,2023-04-26,2788,AKJCL,Ankhu Khola Jalvidhyut Company Ltd,238.6,238.6,230.0,230.7,69851,16274718.2,234.0,266.0,159.8,2023-04-26T14:59:59.359121,230.7,230,232.99,1845.6
7,,2023-04-26,2757,AKPL,Arun Kabeli Power Ltd.,396.7,396.7,386.0,386.0,14481,5626087.3,389.0,519.0,325.0,2023-04-26T14:59:51.174267,386.0,155,388.51,7877.22
8,,2023-04-26,2807,ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,727.1,727.1,697.0,699.0,431,304793.9,713.0,1428.0,657.0,2023-04-26T14:56:44.364485,699.0,15,707.17,2667.5
9,,2023-04-26,385,ALICL,Asian Life Insurance Co. Limited,570.0,571.0,565.0,568.0,3570,2023175.6,570.0,829.0,428.0,2023-04-26T14:59:26.611758,568.0,49,566.71,17922.11
10,,2023-04-26,697,API,Api Power Company Ltd.,250.0,251.0,246.0,247.0,41254,10251530.9,248.0,327.0,200.0,2023-04-26T14:59:59.930037,247.0,222,248.49,10209.21
