,id,businessDate,securityId,symbol,securityName,openPrice,highPrice,lowPrice,closePrice,totalTradedQuantity,totalTradedValue,previousDayClosePrice,fiftyTwoWeekHigh,fiftyTwoWeekLow,lastUpdatedTime,lastUpdatedPrice,totalTrades,averageTradedPrice,marketCapitalization
0,,2022-08-08,2790,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,900.0,914.5,895.0,895.0,1018,919909.0,898.0,1730.0,744.0,2022-08-08T14:59:04.204301,895.0,55,903.64,3285.93
1,,2022-08-08,397,ADBL,Agricultural Development Bank Limited,323.0,328.9,322.0,324.0,17323,5618926.5,324.0,620.0,298.0,2022-08-08T14:59:54.184695,324.0,235,324.36,42728.85
2,,2022-08-08,8071,ADLB,Adarsha Laghubitta Bittiya Sanstha Limited,267.1,267.1,267.1,267.1,10,2671.0,261.9,267.1,256.8,2022-08-08T12:01:48.847932,267.1,1,267.1,55.29
3,,2022-08-08,360,AHPC,Arun Valley Hydropower Development Co. Ltd.,381.0,390.0,372.0,372.0,113719,43085238.7,379.0,785.0,310.0,2022-08-08T14:59:53.164675,372.0,528,378.87,6434.09
4,,2022-08-08,2788,AKJCL,Ankhu Khola Jalvidhyut Company Ltd,231.0,233.0,222.0,224.0,59135,13413075.2,226.5,502.0,162.0,2022-08-08T14:59:58.950564,224.0,292,226.82,1792.0
5,,2022-08-08,2757,AKPL,Arun Kabeli Power Ltd.,479.0,483.0,468.0,469.0,80033,38106861.5,475.0,882.4,369.2,2022-08-08T14:59:58.247965,469.0,444,476.13,8700.94
6,,2022-08-08,2807,ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,1250.0,1290.0,1225.0,1245.0,3279,4061056.5,1250.0,2020.0,1147.0,2022-08-08T14:51:08.682165,1245.0,43,1238.5,4157.23
7,,2022-08-08,385,ALICL,Asian Life Insurance Co. Limited,645.0,649.0,622.0,622.0,38243,24192740.1,644.0,1513.0,484.0,2022-08-08T14:59:48.231645,622.0,365,632.6,15797.77
8,,2022-08-08,697,API,Api Power Company Ltd.,284.0,285.0,273.2,274.0,242756,67700884.6,279.2,670.0,217.6,2022-08-08T14:59:59.289759,274.0,1058,278.88,10535.07
9,,2022-08-08,686,BARUN,Barun Hydropower Co. Ltd.,298.0,299.0,290.0,294.9,16391,4818442.6,297.0,763.4,276.0,2022-08-08T14:59:47.882787,294.9,140,293.96,1580.12
10,,2022-08-08,156,BBC,Bishal Bazar Company Limited,3799.0,3874.0,3796.6,3796.6,110,420981.0,3725.0,7210.0,3195.0,2022-08-08T14:30:36.699934,3796.6,9,3827.1,1865.65
11,,2022-08-08,227,BFC,Best Finance Company Ltd.,422.0,427.0,408.0,409.9,26092,10912550.4,422.0,630.0,298.0,2022-08-08T14:59:55.673636,409.9,189,418.23,3397.72
12,,2022-08-08,8075,BHDC,Bindhyabasini Hydropower Development Company Limited,491.5,520.0,480.0,497.0,27790,13860900.0,482.0,520.0,334.0,2022-08-08T14:59:59.213051,497.0,1108,498.77,1242.5
13,,2022-08-08,8055,BHL,Balephi Hydropower Limited,360.0,373.0,360.0,361.2,31650,11529769.0,367.0,397.0,104.7,2022-08-08T14:59:15.939002,361.2,475,364.28,6602.63
14,,2022-08-08,8032,BNHC,Buddha Bhumi Nepal Hydropower Company Limited,456.9,480.0,441.0,459.1,10813,5019750.0,448.0,744.0,246.7,2022-08-08T14:59:44.186404,459.1,185,464.23,1836.4
15,,2022-08-08,213,BNT,Bottlers Nepal (Terai) Limited,13974.0,13974.0,13800.0,13899.0,474,6561236.0,13700.0,17670.0,9750.0,2022-08-08T14:54:12.026297,13899.0,16,13842.27,16817.79
16,,2022-08-08,153,BPCL,Butwal Power Company Limited,360.0,366.9,348.0,348.1,27225,9738499.5,353.0,703.0,294.0,2022-08-08T14:59:39.150462,348.1,219,357.7,11300.46
17,,2022-08-08,164,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,1085.0,1100.0,1068.0,1069.0,10205,11033197.8,1079.0,2001.0,882.0,2022-08-08T14:59:55.161594,1069.0,264,1081.15,24844.63
18,,2022-08-08,245,CFCL,Central Finance Co. Ltd.,383.0,383.4,360.0,366.0,33866,12493450.0,376.0,814.9,237.0,2022-08-08T14:59:58.128397,366.0,212,368.9,3472.88
19,,2022-08-08,2917,CGH,Chandragiri Hills Limited,1100.0,1120.0,1100.0,1100.0,3035,3370365.8,1113.0,1737.0,900.2,2022-08-08T14:59:30.789388,1100.0,77,1110.49,16875.0
20,,2022-08-08,154,CHCL,Chilime Hydropower Company Limited,436.5,436.5,413.0,419.9,19060,8055014.5,428.0,760.0,347.9,2022-08-08T14:59:51.233214,419.9,182,422.61,28350.79
21,,2022-08-08,3946,CHDC,CEDB Hydropower Development Company Limited,790.1,819.0,779.1,780.0,13127,10379481.9,788.0,1415.0,630.0,2022-08-08T14:59:47.732309,780.0,189,790.69,6547.4
22,,2022-08-08,2766,CHL,Chhyangdi Hydropower Ltd.,300.0,306.0,292.0,293.3,19004,5681548.6,298.0,715.0,207.0,2022-08-08T14:59:47.881367,293.3,136,298.96,1135.01
23,,2022-08-08,210,CIT,Citizen Investment Trust,2936.0,2960.0,2866.5,2905.0,28136,82128969.3,2925.0,4324.0,2137.0,2022-08-08T14:59:55.228309,2905.0,569,2918.99,94993.51
24,,2022-08-08,2780,CMF1,Citizens Mutual Fund -1,8.58,8.58,8.41,8.5,7350,62874.5,8.42,16.01,7.8,2022-08-08T14:58:06.11281,8.5,7,8.55,697.0
25,,2022-08-08,2862,CMF2,CITIZENS MUTUAL FUND 2,9.3,9.3,9.12,9.3,7200,66780.0,9.3,16.09,8.2,2022-08-08T14:04:00.203185,9.3,5,9.27,520.8
26,,2022-08-08,450,CORBL,Corporate Development Bank Limited,336.6,344.0,326.0,327.0,13652,4551180.8,330.0,1155.0,211.3,2022-08-08T14:59:08.612012,327.0,106,333.37,1635.0
27,,2022-08-08,348,CZBIL,Citizens Bank International Limited,205.0,206.0,202.6,203.1,49080,10003735.3,202.7,428.0,194.0,2022-08-08T14:59:32.457549,203.1,196,203.82,28842.18
28,,2022-08-08,166,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,998.1,1015.0,993.8,998.0,7339,7379864.1,1010.0,1872.0,876.0,2022-08-08T14:59:51.541606,998.0,130,1005.56,13847.23
29,,2022-08-08,2754,DHPL,Dibyashwori Hydropower Ltd.,229.0,234.6,225.0,229.0,14101,3236777.3,231.5,485.2,168.0,2022-08-08T14:56:43.534171,229.0,81,229.54,604.56
30,,2022-08-08,8070,DORDI,Dordi Khola Jal Bidyut Company Limited,343.0,357.0,343.0,349.0,43357,15221245.3,349.0,377.0,271.5,2022-08-08T14:59:58.974766,349.0,757,351.06,3679.37
31,,2022-08-08,137,EBL,Everest Bank Limited,511.0,514.0,505.1,509.0,53748,27411053.3,501.0,780.0,411.0,2022-08-08T14:59:52.236345,509.0,345,509.99,47985.16
32,,2022-08-08,274,EDBL,Excel Development Bank Ltd.,384.0,384.0,371.0,371.0,20807,7833865.5,377.0,1195.0,308.0,2022-08-08T14:59:46.023213,371.0,136,376.5,4636.37
33,,2022-08-08,8034,ENL,Emerging Nepal Limited,726.0,750.7,717.0,718.0,4919,3590576.0,736.0,1481.9,287.1,2022-08-08T14:59:14.661852,718.0,90,729.94,3989.21
34,,2022-08-08,490,FMDBL,First Micro Finance Laghubitta Bittiya Sanstha Limited,725.0,742.0,714.0,714.5,14200,10253964.9,729.0,1365.0,559.0,2022-08-08T14:59:52.545994,714.5,143,722.11,6891.3
35,,2022-08-08,2758,FOWAD,Forward Microfinance Laghubitta Bittiya Sanstha Limited,2794.8,2794.8,2706.0,2717.0,19036,52395666.2,2740.0,3150.0,2000.0,2022-08-08T14:59:51.523803,2717.0,515,2752.45,22943.74
36,,2022-08-08,417,GBBL,Garima Bikas Bank Limited,415.0,416.0,402.0,404.0,37374,15269335.6,407.9,750.0,318.0,2022-08-08T14:59:57.647618,404.0,277,408.55,18502.77
37,,2022-08-08,2840,GBD80/81,10.25% GLOBAL IME BANK LTD. DEBENTURE 2080/81,940.0,940.0,940.0,940.0,50,47000.0,958.8,1055.0,920.0,2022-08-08T13:43:03.524367,940.0,1,940.0,96918.85
