,id,businessDate,securityId,symbol,securityName,openPrice,highPrice,lowPrice,closePrice,totalTradedQuantity,totalTradedValue,previousDayClosePrice,fiftyTwoWeekHigh,fiftyTwoWeekLow,lastUpdatedTime,lastUpdatedPrice,totalTrades,averageTradedPrice,marketCapitalization
0,,2022-10-12,2790,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,716.0,719.4,708.1,714.5,305,217943.2,716.0,1660.0,688.2,2022-10-12T14:58:48.656327,714.5,14,714.56,2623.24
1,,2022-10-12,397,ADBL,Agricultural Development Bank Limited,316.0,319.8,310.0,317.0,24496,7724142.8,316.0,560.0,298.0,2022-10-12T14:59:58.433381,317.0,134,315.32,41805.69
2,,2022-10-12,2886,ADBLD83,10.35% Agricultural Bank Debenture 2083,950.0,950.0,950.0,950.0,25,23750.0,950.0,1091.0,945.7,2022-10-12T14:24:04.674838,950.0,1,950.0,
3,,2022-10-12,360,AHPC,Arun Valley Hydropower Development Co. Ltd.,268.0,284.1,268.0,281.0,39034,10905238.6,272.1,628.3,268.0,2022-10-12T14:59:41.909173,281.0,210,279.37,4860.16
4,,2022-10-12,2788,AKJCL,Ankhu Khola Jalvidhyut Company Ltd,174.0,180.0,170.0,176.9,12482,2197823.2,172.0,394.0,162.0,2022-10-12T14:59:49.95091,176.9,98,176.07,1415.2
5,,2022-10-12,2757,AKPL,Arun Kabeli Power Ltd.,375.0,385.3,373.0,382.5,32624,12441117.0,375.9,669.9,369.2,2022-10-12T14:59:45.357885,382.5,217,381.34,7096.18
6,,2022-10-12,2807,ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,933.0,966.0,931.0,950.0,487,460719.0,950.0,1901.0,931.0,2022-10-12T14:58:02.951324,950.0,22,946.03,3172.18
7,,2022-10-12,385,ALICL,Asian Life Insurance Co. Limited,446.0,446.5,430.5,444.5,6105,2683401.3,439.1,1398.0,430.0,2022-10-12T14:59:56.117907,444.5,58,439.54,12926.55
8,,2022-10-12,697,API,Api Power Company Ltd.,213.0,215.0,207.0,214.0,73768,15613599.0,210.0,575.0,203.4,2022-10-12T14:59:49.457088,214.0,340,211.65,8228.12
9,,2022-10-12,8117,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,563.0,607.2,563.0,607.2,70,40906.9,552.0,607.2,316.0,2022-10-12T14:56:27.184126,607.2,9,584.38,1518.0
10,,2022-10-12,686,BARUN,Barun Hydropower Co. Ltd.,209.5,216.8,208.0,215.0,1705,358937.4,212.9,595.0,208.0,2022-10-12T14:59:58.556511,215.0,25,210.52,1152.0
11,,2022-10-12,156,BBC,Bishal Bazar Company Limited,3200.0,3255.0,3200.0,3212.0,60,193070.0,3201.0,5875.0,3137.0,2022-10-12T14:59:43.561153,3212.0,5,3217.83,1578.38
12,,2022-10-12,227,BFC,Best Finance Company Ltd.,320.0,330.0,320.0,322.0,4389,1422625.0,318.6,615.0,298.0,2022-10-12T14:59:25.543979,322.0,49,324.13,2669.1
13,,2022-10-12,8075,BHDC,Bindhyabasini Hydropower Development Company Limited,335.1,356.0,331.0,353.6,1356,460161.0,341.5,520.0,331.0,2022-10-12T14:58:04.198041,353.6,65,339.35,3536.0
14,,2022-10-12,8055,BHL,Balephi Hydropower Limited,255.8,265.0,250.0,259.5,1037,266450.0,261.0,397.0,104.7,2022-10-12T14:59:45.248278,259.5,42,256.94,4743.58
15,,2022-10-12,8032,BNHC,Buddha Bhumi Nepal Hydropower Company Limited,367.0,371.0,356.4,370.0,1840,666511.6,374.0,744.0,246.7,2022-10-12T14:58:10.647033,370.0,25,362.23,1480.0
16,,2022-10-12,213,BNT,Bottlers Nepal (Terai) Limited,11700.0,11935.0,11700.0,11935.0,350,4173720.0,11700.0,17670.0,9845.0,2022-10-12T14:47:29.563533,11935.0,6,11924.91,14441.35
17,,2022-10-12,153,BPCL,Butwal Power Company Limited,293.0,298.9,293.0,295.8,5511,1634264.2,296.1,560.0,288.0,2022-10-12T14:59:52.573235,295.8,73,296.54,9602.63
18,,2022-10-12,164,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,999.0,1007.1,992.0,996.1,8458,8457177.4,999.0,1850.0,882.0,2022-10-12T14:59:45.479739,996.1,133,999.9,23150.36
19,,2022-10-12,245,CFCL,Central Finance Co. Ltd.,296.0,316.0,294.0,309.9,13096,4021116.0,299.8,637.0,237.0,2022-10-12T14:59:58.475117,309.9,78,307.04,2940.57
20,,2022-10-12,2917,CGH,Chandragiri Hills Limited,946.0,975.0,946.0,975.0,418,403845.0,960.0,1737.0,900.2,2022-10-12T14:51:29.753516,975.0,22,966.13,14957.39
21,,2022-10-12,154,CHCL,Chilime Hydropower Company Limited,354.2,365.0,354.0,362.0,23542,8435275.3,359.0,630.0,347.9,2022-10-12T14:58:41.926895,362.0,69,358.3,24441.5
22,,2022-10-12,3946,CHDC,CEDB Hydropower Development Company Limited,610.2,625.0,610.2,616.0,1445,894220.0,618.0,1130.0,608.2,2022-10-12T14:58:58.275547,616.0,46,618.83,5170.77
23,,2022-10-12,2766,CHL,Chhyangdi Hydropower Ltd.,207.0,211.6,203.8,203.8,6813,1420775.0,205.9,550.8,197.2,2022-10-12T14:59:55.577101,203.8,45,208.53,788.66
24,,2022-10-12,210,CIT,Citizen Investment Trust,1900.0,1900.0,1857.0,1875.0,4101,7658191.0,1874.0,3646.0,1780.0,2022-10-12T14:58:20.550261,1875.0,108,1867.39,79706.26
25,,2022-10-12,2780,CMF1,Citizens Mutual Fund -1,8.1,8.1,8.1,8.1,1000,8100.0,8.15,10.49,7.4,2022-10-12T13:36:25.457824,8.1,1,8.1,664.2
26,,2022-10-12,450,CORBL,Corporate Development Bank Limited,255.0,275.8,255.0,269.0,1810,475300.0,260.0,999.0,211.3,2022-10-12T14:52:08.419985,269.0,21,262.59,1345.0
27,,2022-10-12,348,CZBIL,Citizens Bank International Limited,197.0,201.1,195.7,201.1,30677,6078556.2,197.2,323.3,180.0,2022-10-12T14:59:56.769895,201.1,177,198.14,28558.16
28,,2022-10-12,493,CZBILP,Citizens Bank Internatioal Limited Promoter Share,153.0,153.0,153.0,153.0,18172,2780316.0,153.0,204.0,143.0,2022-10-12T11:55:21.717335,153.0,1,153.0,1.53
29,,2022-10-12,166,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,912.0,920.0,912.0,918.0,3985,3654704.2,912.0,1407.0,861.0,2022-10-12T14:59:58.47037,918.0,79,917.11,12737.24
30,,2022-10-12,2754,DHPL,Dibyashwori Hydropower Ltd.,174.5,180.5,174.0,179.0,2346,414076.5,171.1,381.4,166.6,2022-10-12T14:58:19.272018,179.0,27,176.5,472.56
31,,2022-10-12,8070,DORDI,Dordi Khola Jal Bidyut Company Limited,243.0,249.0,234.1,245.0,4860,1176010.0,242.0,408.0,234.1,2022-10-12T14:57:33.273592,245.0,81,241.97,2582.94
32,,2022-10-12,137,EBL,Everest Bank Limited,483.0,488.9,475.2,484.0,12887,6239202.1,483.0,745.0,411.0,2022-10-12T14:59:51.053839,484.0,91,484.14,45628.33
33,,2022-10-12,8044,EBLD86,Everest Bank Limited,847.7,847.7,778.5,780.0,220,173253.0,865.0,1000.0,778.5,2022-10-12T14:02:27.843009,780.0,10,787.51,
34,,2022-10-12,274,EDBL,Excel Development Bank Ltd.,319.0,322.0,310.2,319.9,8397,2663993.7,315.0,677.1,291.2,2022-10-12T14:59:55.352694,319.9,68,317.25,3997.77
35,,2022-10-12,8034,ENL,Emerging Nepal Limited,565.2,588.0,565.2,577.0,235,136767.0,575.0,1481.9,287.1,2022-10-12T14:35:06.365207,577.0,11,581.98,3205.81
36,,2022-10-12,490,FMDBL,First Micro Finance Laghubitta Bittiya Sanstha Limited,612.0,623.0,600.0,620.0,17928,11102996.1,610.5,1059.0,559.0,2022-10-12T14:59:00.311545,620.0,82,619.31,5979.85
37,,2022-10-12,2758,FOWAD,Forward Microfinance Laghubitta Bittiya Sanstha Limited,2584.0,2597.0,2541.0,2584.0,3680,9491943.9,2590.0,3040.0,2000.0,2022-10-12T14:59:13.298914,2584.0,121,2579.33,21820.62
38,,2022-10-12,8033,GBBD85,"Garima Debenture, 2085",729.1,745.0,729.1,745.0,249,183332.0,735.1,1000.0,722.5,2022-10-12T14:48:09.292207,745.0,12,736.27,
39,,2022-10-12,417,GBBL,Garima Bikas Bank Limited,375.2,388.0,368.1,383.9,13875,5281602.9,375.2,662.0,318.0,2022-10-12T14:59:12.327966,383.9,146,380.65,17582.21
40,,2022-10-12,8004,GBILD86/87,Global IME Bank Limited Debenture 2086/87,755.0,755.0,755.0,755.0,50,37750.0,755.0,1000.0,744.8,2022-10-12T14:49:48.411754,755.0,1,755.0,
41,,2022-10-12,583,GBLBS,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,603.0,611.0,595.0,600.2,1622,976838.6,607.0,1142.0,585.0,2022-10-12T14:24:19.688692,600.2,24,602.24,5896.97
42,,2022-10-12,232,GFCL,Goodwill Finance Limited,445.0,466.0,436.1,460.0,12942,5861049.3,446.0,875.0,358.0,2022-10-12T14:59:33.052205,460.0,104,452.87,4352.13
43,,2022-10-12,2806,GHL,Ghalemdi Hydro Limited,177.0,184.7,173.0,181.0,9021,1605378.5,174.0,420.0,169.0,2022-10-12T14:59:59.248655,181.0,60,177.96,995.5
44,,2022-10-12,8106,GIBF1,Global IME Balanced Fund-1,8.31,8.31,8.15,8.15,1000,8263.0,8.47,10.0,8.1,2022-10-12T14:26:35.73414,8.15,8,8.26,836.0
45,,2022-10-12,705,GILB,Global IME Laghubitta Bittiya Sanstha Ltd.,1200.0,1200.0,1185.0,1190.0,1685,2007047.6,1198.0,2400.0,1118.2,2022-10-12T14:59:54.401333,1190.0,47,1191.12,6575.81
46,,2022-10-12,1740,GIMES1,Global IME Samunnat Scheme-1,8.5,8.5,8.13,8.37,68476,565295.4,8.45,23.41,8.13,2022-10-12T14:49:02.669531,8.37,46,8.25,837.0
