,id,businessDate,securityId,symbol,securityName,openPrice,highPrice,lowPrice,closePrice,totalTradedQuantity,totalTradedValue,previousDayClosePrice,fiftyTwoWeekHigh,fiftyTwoWeekLow,lastUpdatedTime,lastUpdatedPrice,totalTrades,averageTradedPrice,marketCapitalization
0,,2022-08-18,2790,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,827.0,859.8,827.0,859.8,2061,1732191.8,827.0,1705.0,744.0,2022-08-18T14:59:58.532247,859.8,52,840.46,3156.7
1,,2022-08-18,397,ADBL,Agricultural Development Bank Limited,322.0,325.0,321.0,323.0,17718,5723920.9,320.0,600.0,298.0,2022-08-18T14:59:22.81069,323.0,219,323.05,42596.97
2,,2022-08-18,360,AHPC,Arun Valley Hydropower Development Co. Ltd.,364.9,369.7,360.0,369.0,93816,34351915.1,359.0,785.0,310.0,2022-08-18T14:59:59.31112,369.0,393,366.16,6382.21
3,,2022-08-18,2788,AKJCL,Ankhu Khola Jalvidhyut Company Ltd,215.0,225.0,214.0,224.9,82248,18103256.1,213.0,502.0,162.0,2022-08-18T14:59:54.51849,224.9,367,220.1,1799.2
4,,2022-08-18,2757,AKPL,Arun Kabeli Power Ltd.,448.0,469.0,448.0,458.0,120670,55637755.3,447.0,882.4,369.2,2022-08-18T14:59:58.066246,458.0,614,461.07,8496.86
5,,2022-08-18,2807,ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,1194.0,1200.0,1179.0,1197.9,895,1060155.0,1171.0,2012.0,1136.8,2022-08-18T14:59:52.332412,1197.9,31,1184.53,3999.96
6,,2022-08-18,385,ALICL,Asian Life Insurance Co. Limited,588.0,608.0,588.0,602.0,22276,13380591.5,588.1,1513.0,484.0,2022-08-18T14:59:36.509239,602.0,169,600.67,15289.81
7,,2022-08-18,697,API,Api Power Company Ltd.,264.0,274.0,262.1,273.0,288685,78026635.5,261.0,635.0,217.6,2022-08-18T14:59:58.259043,273.0,1120,270.28,10496.62
8,,2022-08-18,686,BARUN,Barun Hydropower Co. Ltd.,282.0,288.0,276.4,284.0,9629,2736626.0,277.0,758.0,274.0,2022-08-18T14:59:56.794356,284.0,95,284.2,1521.71
9,,2022-08-18,156,BBC,Bishal Bazar Company Limited,3672.0,3720.0,3672.0,3680.0,130,480340.0,3600.0,6890.0,3195.0,2022-08-18T14:59:01.814802,3680.0,5,3694.92,1808.35
10,,2022-08-18,227,BFC,Best Finance Company Ltd.,400.0,408.0,395.0,406.5,20869,8435147.7,395.0,630.0,298.0,2022-08-18T14:59:50.401383,406.5,153,404.19,3369.53
11,,2022-08-18,8075,BHDC,Bindhyabasini Hydropower Development Company Limited,484.0,499.5,466.1,489.0,21993,10776042.1,475.0,520.0,334.0,2022-08-18T14:59:57.988847,489.0,652,489.97,1222.5
12,,2022-08-18,8055,BHL,Balephi Hydropower Limited,334.6,364.0,327.2,362.0,35571,12423302.7,334.0,397.0,104.7,2022-08-18T14:59:59.128018,362.0,516,349.25,6617.25
13,,2022-08-18,8032,BNHC,Buddha Bhumi Nepal Hydropower Company Limited,429.0,438.5,420.0,438.5,5911,2538176.5,424.9,744.0,246.7,2022-08-18T14:59:38.13023,438.5,97,429.39,1754.0
14,,2022-08-18,213,BNT,Bottlers Nepal (Terai) Limited,13950.0,13994.4,13715.0,13990.0,166,2313356.0,13720.0,17670.0,9750.0,2022-08-18T14:59:34.902122,13990.0,10,13935.87,16927.9
15,,2022-08-18,4961,BOKD86,8.5% BOK Debenture 2086,780.0,780.0,780.0,780.0,50,39000.0,765.0,1000.0,752.1,2022-08-18T13:54:14.761448,780.0,1,780.0,1248.0
16,,2022-08-18,153,BPCL,Butwal Power Company Limited,321.0,332.0,319.0,329.0,16057,5220401.0,321.0,650.0,294.0,2022-08-18T14:59:52.51566,329.0,129,325.11,10680.42
17,,2022-08-18,164,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,1051.0,1070.0,1050.0,1063.5,6570,6991030.2,1049.3,1924.0,882.0,2022-08-18T14:59:59.409338,1063.5,159,1064.08,24716.8
18,,2022-08-18,245,CFCL,Central Finance Co. Ltd.,343.0,369.0,343.0,368.0,25212,9109164.9,349.1,814.9,237.0,2022-08-18T14:59:46.825358,368.0,217,361.3,3491.86
19,,2022-08-18,2917,CGH,Chandragiri Hills Limited,1042.0,1075.0,1042.0,1065.0,1135,1205030.0,1058.0,1737.0,900.2,2022-08-18T14:59:38.48908,1065.0,42,1061.7,16338.07
20,,2022-08-18,154,CHCL,Chilime Hydropower Company Limited,401.2,409.0,401.2,407.0,11725,4763113.0,400.0,716.0,347.9,2022-08-18T14:59:42.378868,407.0,108,406.23,27479.8
21,,2022-08-18,3946,CHDC,CEDB Hydropower Development Company Limited,750.0,772.0,750.0,760.5,13195,10091886.0,757.8,1415.0,630.0,2022-08-18T14:59:31.888214,760.5,156,764.82,6383.71
22,,2022-08-18,2766,CHL,Chhyangdi Hydropower Ltd.,270.0,275.0,267.0,273.0,11538,3129109.4,265.0,668.0,207.0,2022-08-18T14:59:43.536806,273.0,92,271.2,1056.45
23,,2022-08-18,210,CIT,Citizen Investment Trust,2105.0,2126.9,2105.0,2114.0,8167,17292029.1,2110.0,4090.0,2097.0,2022-08-18T14:59:31.829092,2114.0,224,2117.3,89866.15
24,,2022-08-18,2780,CMF1,Citizens Mutual Fund -1,8.33,8.33,8.1,8.1,4500,36778.0,8.2,16.01,7.8,2022-08-18T14:59:52.438549,8.1,10,8.17,664.2
25,,2022-08-18,2862,CMF2,CITIZENS MUTUAL FUND 2,8.35,8.4,8.35,8.4,2100,17580.0,8.32,16.04,8.14,2022-08-18T13:01:20.54057,8.4,3,8.37,470.4
26,,2022-08-18,450,CORBL,Corporate Development Bank Limited,325.0,331.0,315.0,331.0,4873,1591162.8,319.5,1155.0,211.3,2022-08-18T14:59:56.954654,331.0,49,326.52,1655.0
27,,2022-08-18,348,CZBIL,Citizens Bank International Limited,202.9,202.9,200.1,202.5,19008,3831695.0,201.5,427.3,194.0,2022-08-18T14:59:33.471354,202.5,143,201.58,28756.97
28,,2022-08-18,166,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,997.0,1005.0,989.0,1005.0,7024,7010689.0,981.5,1857.1,876.0,2022-08-18T14:58:36.640511,1005.0,125,998.1,13944.36
29,,2022-08-18,2754,DHPL,Dibyashwori Hydropower Ltd.,214.0,225.0,212.0,219.9,12932,2814428.7,214.0,437.0,168.0,2022-08-18T14:59:36.781374,219.9,73,217.63,580.54
30,,2022-08-18,8070,DORDI,Dordi Khola Jal Bidyut Company Limited,385.2,398.0,385.0,385.2,31702,12361625.1,393.0,398.0,271.5,2022-08-18T14:59:58.860057,385.2,708,389.93,4061.01
31,,2022-08-18,137,EBL,Everest Bank Limited,515.0,515.0,505.0,510.5,19835,10101706.0,506.0,774.0,411.0,2022-08-18T14:58:00.635559,510.5,167,509.28,48126.57
32,,2022-08-18,274,EDBL,Excel Development Bank Ltd.,346.0,368.0,346.0,363.4,41804,15052718.7,351.0,1149.0,308.0,2022-08-18T14:59:48.930087,363.4,213,360.07,4541.39
33,,2022-08-18,8034,ENL,Emerging Nepal Limited,667.1,720.0,667.1,696.0,4577,3197042.8,680.0,1481.9,287.1,2022-08-18T14:59:45.658704,696.0,86,698.5,3866.98
34,,2022-08-18,490,FMDBL,First Micro Finance Laghubitta Bittiya Sanstha Limited,715.0,726.0,709.0,720.0,9266,6667234.1,712.0,1325.0,559.0,2022-08-18T14:59:31.37494,720.0,111,719.53,6944.35
35,,2022-08-18,2758,FOWAD,Forward Microfinance Laghubitta Bittiya Sanstha Limited,2690.0,2738.0,2690.0,2725.0,6690,18231908.5,2685.0,3135.0,2000.0,2022-08-18T14:59:49.970238,2725.0,200,2725.24,23011.29
