,id,businessDate,securityId,symbol,securityName,openPrice,highPrice,lowPrice,closePrice,totalTradedQuantity,totalTradedValue,previousDayClosePrice,fiftyTwoWeekHigh,fiftyTwoWeekLow,lastUpdatedTime,lastUpdatedPrice,totalTrades,averageTradedPrice,marketCapitalization
0,,2023-07-05,2790,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,636.0,658.0,627.1,627.1,2362,1514440.0,636.0,977.1,530.0,2023-07-05T14:57:18.014427,627.1,45,641.16,2302.36
1,,2023-07-05,397,ADBL,Agricultural Development Bank Limited,232.0,235.0,230.2,233.0,23932,5579157.8,234.0,355.8,224.0,2023-07-05T14:56:20.009857,233.0,158,233.12,31342.4
2,,2023-07-05,9150,AHL,Asian Hydropower Limited,345.9,346.0,330.0,330.4,2815,941386.0,340.0,480.9,298.8,2023-07-05T14:57:23.839515,330.4,110,334.41,1123.36
3,,2023-07-05,360,AHPC,Arun Valley Hydropower Development Co. Ltd.,275.1,275.1,263.0,268.2,65029,17288281.3,269.8,408.0,250.0,2023-07-05T14:59:59.808381,268.2,337,265.85,5009.88
4,,2023-07-05,2788,AKJCL,Ankhu Khola Jalvidhyut Company Ltd,194.0,197.8,190.0,190.0,33570,6473195.1,196.0,262.0,159.8,2023-07-05T14:59:56.769156,190.0,191,192.82,1520.0
5,,2023-07-05,2757,AKPL,Arun Kabeli Power Ltd.,352.5,354.0,342.0,342.0,91205,31489472.6,351.9,519.0,325.0,2023-07-05T14:59:56.371236,342.0,589,345.26,6979.3
6,,2023-07-05,2807,ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,793.5,793.5,726.0,742.5,3509,2662787.3,778.0,1392.0,649.0,2023-07-05T14:55:07.235531,742.5,46,758.84,2833.5
7,,2023-07-05,385,ALICL,Asian Life Insurance Co. Limited,766.0,768.0,742.0,745.0,93246,70465487.3,768.0,812.0,428.0,2023-07-05T14:59:50.829709,745.0,429,755.69,23506.99
8,,2023-07-05,9161,ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,2349.0,2352.0,2306.0,2342.0,1163,2707977.0,2396.0,2651.0,403.8,2023-07-05T14:59:50.622096,2342.0,67,2328.44,1459.96
9,,2023-07-05,697,API,Api Power Company Ltd.,242.6,242.6,229.0,230.5,185169,43116142.2,238.0,315.0,200.0,2023-07-05T14:59:49.786488,230.5,1031,232.84,9527.22
10,,2023-07-05,8117,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,655.7,680.0,647.0,660.0,1652,1080336.0,669.0,963.0,316.0,2023-07-05T14:59:59.245527,660.0,76,653.95,1650.0
11,,2023-07-05,686,BARUN,Barun Hydropower Co. Ltd.,245.0,246.0,237.0,238.0,24810,5991496.7,248.0,469.9,190.3,2023-07-05T14:59:25.08247,238.0,116,241.49,1275.24
12,,2023-07-05,156,BBC,Bishal Bazar Company Limited,3442.0,3442.0,3347.0,3409.7,204,686961.0,3450.0,4075.0,3050.0,2023-07-05T14:59:31.681902,3409.7,14,3367.45,1675.53
13,,2023-07-05,9171,BEDC,Bhugol Energy Development Company Limited,226.5,249.9,222.0,223.5,17941,4100656.3,230.0,326.3,202.8,2023-07-05T14:59:56.830823,223.5,377,228.56,1215.96
14,,2023-07-05,227,BFC,Best Finance Company Ltd.,350.0,353.0,330.3,330.3,39916,13782167.6,347.0,475.0,287.0,2023-07-05T14:59:56.509499,330.3,237,345.27,2823.46
15,,2023-07-05,8075,BHDC,Bindhyabasini Hydropower Development Company Limited,362.0,370.2,357.0,360.0,2387,863696.3,367.0,520.0,310.0,2023-07-05T14:52:35.850589,360.0,87,361.83,3780.0
16,,2023-07-05,8055,BHL,Balephi Hydropower Limited,278.0,285.0,264.6,283.0,8760,2345350.0,282.8,397.0,216.1,2023-07-05T14:59:56.205551,283.0,125,267.73,5173.16
