,id,businessDate,securityId,symbol,securityName,openPrice,highPrice,lowPrice,closePrice,totalTradedQuantity,totalTradedValue,previousDayClosePrice,fiftyTwoWeekHigh,fiftyTwoWeekLow,lastUpdatedTime,lastUpdatedPrice,totalTrades,averageTradedPrice,marketCapitalization
0,,2022-12-07,2790,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,709.0,715.0,709.0,715.0,189,134677.0,720.0,1566.0,688.2,2022-12-07T14:56:30.817735,715.0,7,712.57,2625.08
1,,2022-12-07,397,ADBL,Agricultural Development Bank Limited,312.0,315.0,308.0,309.0,25574,7938888.2,311.7,510.0,298.0,2022-12-07T14:59:18.886885,309.0,215,310.42,40750.66
2,,2022-12-07,8071,ADLB,Adarsha Laghubitta Bittiya Sanstha Limited,338.1,338.1,338.1,338.1,10,3381.0,331.5,338.1,256.8,2022-12-07T14:46:35.25717,338.1,1,338.1,69.99
3,,2022-12-07,360,AHPC,Arun Valley Hydropower Development Co. Ltd.,270.0,272.9,269.0,270.0,20484,5541397.4,272.8,628.3,251.4,2022-12-07T14:59:31.400435,270.0,90,270.52,4669.91
4,,2022-12-07,2893,AIL,Ajod Insurance Limited,406.5,411.0,405.0,405.0,1360,552817.0,409.0,806.0,405.0,2022-12-07T14:58:27.992471,405.0,58,406.48,4050.0
5,,2022-12-07,2788,AKJCL,Ankhu Khola Jalvidhyut Company Ltd,173.0,173.0,168.5,169.9,15817,2695738.8,171.1,350.0,161.0,2022-12-07T14:59:58.580723,169.9,92,170.43,1359.2
6,,2022-12-07,2757,AKPL,Arun Kabeli Power Ltd.,349.1,349.1,342.5,347.8,16147,5561501.9,346.0,624.0,342.0,2022-12-07T14:59:58.814231,347.8,134,344.42,7097.66
7,,2022-12-07,2807,ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,911.0,918.0,901.0,906.0,188,171070.0,910.0,1750.0,874.3,2022-12-07T14:59:09.873924,906.0,13,909.94,3025.26
8,,2022-12-07,385,ALICL,Asian Life Insurance Co. Limited,513.0,518.0,511.1,512.1,7300,3752772.0,520.0,1374.0,428.0,2022-12-07T14:59:29.894794,512.1,80,514.07,14892.44
9,,2022-12-07,697,API,Api Power Company Ltd.,211.1,214.0,209.0,209.5,46265,9723874.0,210.8,575.0,200.0,2022-12-07T14:59:48.988562,209.5,262,210.17,8055.1
10,,2022-12-07,8117,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,706.0,710.0,703.5,705.0,1425,1004789.0,706.0,963.0,316.0,2022-12-07T14:59:22.873765,705.0,109,705.11,1762.5
11,,2022-12-07,686,BARUN,Barun Hydropower Co. Ltd.,203.1,206.8,201.0,203.9,15060,3050282.2,205.0,595.0,200.0,2022-12-07T14:59:39.850572,203.9,122,202.54,1092.53
12,,2022-12-07,156,BBC,Bishal Bazar Company Limited,3190.0,3240.0,3190.0,3240.0,48,153620.0,3250.0,5763.0,3137.0,2022-12-07T14:59:36.887728,3240.0,4,3200.41,1592.14
