,id,businessDate,securityId,symbol,securityName,openPrice,highPrice,lowPrice,closePrice,totalTradedQuantity,totalTradedValue,previousDayClosePrice,fiftyTwoWeekHigh,fiftyTwoWeekLow,lastUpdatedTime,lastUpdatedPrice,totalTrades,averageTradedPrice,marketCapitalization
0,,2023-01-08,2790,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,861.0,899.0,861.0,887.0,2453,2173767.6,878.0,1566.0,675.0,2023-01-08T14:59:21.505419,887.0,70,886.16,3256.56
1,,2023-01-08,397,ADBL,Agricultural Development Bank Limited,346.8,346.8,338.2,340.0,92031,31354479.1,342.0,448.0,298.0,2023-01-08T14:59:59.418008,340.0,388,340.69,44838.91
2,,2023-01-08,2886,ADBLD83,10.35% Agricultural Bank Debenture 2083,930.0,938.8,930.0,938.8,925,868170.0,938.8,1091.0,909.6,2023-01-08T14:34:17.921738,938.8,7,938.56,
3,,2023-01-08,8071,ADLB,Adarsha Laghubitta Bittiya Sanstha Limited,598.6,635.1,598.6,635.1,40,24669.0,586.9,635.1,256.8,2023-01-08T12:56:47.466654,635.1,4,616.72,131.47
4,,2023-01-08,360,AHPC,Arun Valley Hydropower Development Co. Ltd.,327.0,339.0,314.0,328.9,182782,60443107.1,326.9,628.3,250.0,2023-01-08T14:59:54.511766,328.9,673,330.68,5688.64
5,,2023-01-08,2893,AIL,Ajod Insurance Limited,547.0,566.0,540.0,555.0,22703,12576565.2,546.0,806.0,344.0,2023-01-08T14:59:56.5211,555.0,301,553.96,5550.0
6,,2023-01-08,2845,AKBSL,Adhikhola Laghubitta Bittiya Sanstha Limited,1710.0,1837.0,1710.0,1823.0,16542,29783049.6,1681.0,1837.0,390.76,2023-01-08T14:59:36.694256,1823.0,350,1800.45,2169.37
7,,2023-01-08,2788,AKJCL,Ankhu Khola Jalvidhyut Company Ltd,217.7,222.0,210.0,216.3,128173,27887793.2,213.5,350.0,159.8,2023-01-08T14:59:57.832915,216.3,547,217.57,1730.4
8,,2023-01-08,2757,AKPL,Arun Kabeli Power Ltd.,415.0,422.0,404.0,417.0,160826,66912617.0,411.0,624.0,325.0,2023-01-08T14:59:58.368694,417.0,577,416.05,8509.85
9,,2023-01-08,2807,ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,1136.2,1158.9,1083.0,1090.0,3006,3326226.5,1114.0,1750.0,874.3,2023-01-08T14:58:28.3191,1090.0,59,1106.52,3639.66
10,,2023-01-08,385,ALICL,Asian Life Insurance Co. Limited,703.8,737.0,690.0,725.0,102016,73260530.3,690.0,1374.0,428.0,2023-01-08T14:59:54.416543,725.0,605,718.12,21083.81
11,,2023-01-08,697,API,Api Power Company Ltd.,259.9,271.0,251.1,268.0,520212,137306277.6,254.9,575.0,200.0,2023-01-08T14:59:59.554908,268.0,2126,263.94,10304.37
12,,2023-01-08,8117,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,795.0,837.5,771.3,810.0,11690,9425310.6,786.2,963.0,316.0,2023-01-08T14:59:46.190915,810.0,318,806.27,2025.0
13,,2023-01-08,686,BARUN,Barun Hydropower Co. Ltd.,242.0,259.0,235.0,248.0,82571,20552680.3,241.1,595.0,190.3,2023-01-08T14:59:56.734344,248.0,471,248.9,1328.82
14,,2023-01-08,156,BBC,Bishal Bazar Company Limited,3621.1,3740.0,3602.0,3630.0,832,3057692.0,3695.0,5763.0,3083.0,2023-01-08T14:56:32.643873,3630.0,37,3675.11,1783.78
15,,2023-01-08,227,BFC,Best Finance Company Ltd.,363.0,396.0,356.0,378.0,35939,13437864.7,370.0,577.0,292.5,2023-01-08T14:59:34.853596,378.0,229,373.9,3133.29
16,,2023-01-08,8075,BHDC,Bindhyabasini Hydropower Development Company Limited,392.0,417.0,384.2,417.0,17474,7108410.5,400.0,520.0,310.0,2023-01-08T14:59:52.617966,417.0,249,406.79,4378.5
